[FIGHTER]
1910;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1912;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1914;81;50;18;0,8;135;108;86;1;8;4;4;-;5;-;-;-;-;-;-;-;-
1916;88;55;19;0,9;158;126;101;2;9;4;5;-;6;-;-;-;-;-;-;-;-
1918;102;60;20;1,0;180;144;115;2;9;5;5;-;6;-;-;-;-;-;-;-;-
1920;120;65;21;1,2;185;148;118;2;10;5;5;-;7;-;-;-;-;-;-;-;-
1922;125;70;22;1,4;189;151;121;2;10;5;6;-;7;-;-;-;-;-;-;-;-
1924;131;75;23;1,6;194;155;124;2;11;5;6;-;7;-;-;-;-;-;-;-;-
1926;137;80;24;1,8;198;158;127;2;11;6;6;-;8;-;-;-;-;-;-;-;-
1928;144;85;25;2,0;203;162;130;2;12;6;6;-;8;-;-;-;-;-;-;-;-
1930;154;95;26;2,2;207;166;132;2;12;6;7;-;8;-;-;-;-;-;-;-;-
1932;172;110;27;2,3;212;169;135;2;13;7;7;-;9;-;-;;-;-;-;-;-
1934;192;125;28;2,4;216;173;138;2;13;7;7;-;9;-;-;1;-;-;-;-;L,G
1936;216;140;29;2,5;221;176;141;4;14;7;8;-;10;-;-;1;-;-;-;-;L,G
1938;244;155;30;2,6;225;180;144;6;14;7;10;-;10;-;1;2;-;-;-;-;L,G
1940;280;170;32;2,7;230;184;147;8;15;8;11;-;11;-;1;2;-;-;-;-;L,G
1942;316;185;34;2,9;234;187;150;10;15;8;12;-;11;-;2;4;-;-;-;-;L,G
1944;364;200;36;3,2;239;191;153;12;16;8;13;-;12;-;3;6;-;-;-;-;L,G
1946;380;215;38;3,6;243;194;156;13;16;8;14;-;12;-;3;7;-;-;-;-;L,G
1948;400;230;39;4,2;248;198;158;13;17;9;14;-;13;-;4;8;-;-;-;-;L,G
1950;420;245;40;4,6;252;202;161;13;17;9;15;-;13;-;4;8;-;-;-;-;L,G
[DIVE BOMBER]
1910;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1912;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1914;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1916;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1918;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1920;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1922;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1924;120;96;13;1,0;300;240;192;2;7;7;4;-;6;-;1;1;-;-;-;-;D,G
1926;130;101;14;1,0;298;239;191;2;7;7;4;-;7;-;1;1;-;-;-;-;D,G
1928;140;106;16;1,0;285;228;182;2;7;7;5;-;7;-;1;2;-;-;-;-;D,G
1930;150;111;18;1,0;270;216;173;2;8;8;5;-;7;-;1;2;-;-;-;-;D,G
1932;170;121;20;1,1;255;204;163;2;8;8;5;-;7;-;1;3;-;-;-;-;D,G
1934;190;131;22;1,2;240;192;154;2;8;8;5;-;8;1;2;3;-;-;-;-;D,G
1936;210;141;24;1,4;255;204;163;3;8;8;6;-;8;1;2;4;-;-;-;-;D,G
1938;230;151;26;1,6;270;216;173;4;9;9;7;-;8;1;2;4;-;-;-;-;D,G
1940;250;161;28;1,7;330;264;211;4;9;9;7;-;9;1;2;4;-;-;-;-;D,G
