You are due to hold a speech at the annual gathering of the Navy League. What will be the gist of your speech?;99;;;;27;1900;1935
The seas should be kept peaceful for the prosperity of all nations.;-1;-1;-1;10;0
We are prepared to safeguard the interests of our nation against any threat that may arise.;0;0;1;10;0
The freedom of the seas is threatened by the imperialistic ambitions of XX.;1;1;2;8;0
A colonial crisis with XX has arisen. You are asked for recommendations. What is your advice to the Government?;9;;;;0;1900;1940
We must safeguard our interests, and if it leads to war, we are prepared to fight it!;1;1;3;99;0
It would be best to avoid a war right now, but prepare for future conflicts by strenghtening the navy.;2;0;1;99;0
We are not ready for war and should make concessions to avoid escalating the tensions.;1;-1;-1;99;0
There has been an uprising in an African country in the focus of great power colonial ambitions. We need to send a force to evacuate our nationals and protect our interests. What size should the expeditionary force be?;99;;;;0;1900;1999
A gunboat.;0;0;1;10;0
A cruiser.;0;1;2;10;30
A battleship.;1;2;3;10;31
The YY has made an ill-considered statement about XX. What is your response when asked by a foreign journalist?;9;;;;3;1900;1999
Try to explain that the quote was taken out of context.;1;-1;0;99;0
You will not comment on policy issues. ;0;0;1;99;0
Agree wholeheartedly with the YY.;1;1;2;99;0
A disarmament conference is being held in the Hague. What is your recommendations for the delegation?;99;;;;0;1900;1999
We should not be limited in our national security by any restrictions imposed on us.;0;1;1;10;0
Keep up an appearance of being reasonable, but don't agree to anything binding.;0;0;0;10;40
We can live with reductions and disarmament, as long as it applies fairly and proportionally to all nations.;-1;-1;-2;10;41
XX appears to be considering a naval rearmament programme. The Government asks for your advice on how to react?;13;;;;0;1900;1999
We should condemn the adventurous policies of XX and strengthen our own navy.;2;1;2;99;0
Their ships are no threat to our better equipped and trained navy.;0;0;1;99;0
We could always complain at the next disarmament conference.;0;-1;-1;99;0
There has been a political murder in the Balkans. What is your advice on how to handle the crisis?;99;;;;0;1900;1950
Demand that the guilty are brought to justice, even at the risk of war.;1;1;2;10;0
There should be a diplomatic solution to the crisis.;1;-1;1;10;0
Nations stupid enough to put their fingers in the Balkan fire should realise that they can get burned.;0;0;1;10;0
