Name	Name2	Own Name	FlagFileName	Mag14	15	16	17	18	Accuracy	Damage Ctrl	APshell14	15	16	17	18	NightFighting	SmokeFloats 14	15	16	17	18	x
0	Germany	German	Kaiserliche Marine	ge.bmp	1	1	0	0	0	1	1	0	0	0	0	0	1	0	0	1	1	1	x
1	Austria-Hungary	Austrian	Kaiserliche und K?igliche Kriegsmarine	kuk.bmp	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	x
2	Turkey	Turkish	-	turkey.bmp	1	1	1	1	1	-1	0	0	0	0	0	0	0	0	0	0	0	0	x
3	Great Britain	British	Royal Navy	gb2.bmp	2	2	2	1	1	0	0	-1	-1	-1	-1	0	0	0	0	0	0	0	x
4	France	French	Marine Nationale	mn.bmp	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	x
5	Italy	Italian	Regia Marina	rm.bmp	1	1	1	1	1	-1	0	0	0	0	0	0	0	0	0	0	0	0	x
6	Russia	Russian	Morskoi Flot	Russia.bmp	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	x
7	USA	U.S.	US Navy	USN.bmp	1	1	1	1	1	-1	0	0	0	0	0	0	0	0	0	0	0	0	x
8	Japan	Japanese	-	Japan.BMP	1	1	1	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	x
9	Greece	Greek	-	Greece.bmp	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	x
10	Unspecified	Generic	-	-	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	x
