Cal	Cat	Weight	Cost	TF1	TF2	TF3	TFC	SW
2	S	1	5	3	4	5	3	4
3	S	2	10	6	8	10	5	10
4	S	3	15	8	10	15	7	25
5	S	6	20	12	18	24	9	50
6	S	8	30	18	25	30	14	60
7	M	14	50	20	28	35	17	90
8	M	18	80	22	30	40	19	145
9	M	28	100	25	35	60	23	180	
10	M	35	120	30	40	66	x	220
11	H	44	160	35	56	82	x	400
12	H	67	190	40	56	85	x	530
13	H	80	230	44	66	92	x	670
14	H	85	260	48	78	98	x	870
15	H	101	290	52	82	105	x	1100
16	H	108	340	56	85	112	x	1320
17	H	124	370	66	98	123	x	1500
18	H	148	400	82	105	138	x	1800
19	H	172	430	90	115	148	x	2000
20	H	216	460	105	125	158	x	2250
