[Machinery development 0]
PicName=Boiler.jpg
Improved surface condenser;1900;N;100;3;1;1% weight saving on machinery
Cockburn safety valve;1901;Y;100;4;2;1% weight saving on machinery
Side drums;1902;Y;100;6;3;1% weight saving on machinery
Preheater;1903;N;100;6;4;1% weight saving on machinery
Steam Turbines;1904;Y;100;8;5;1% weight saving on machinery
Small tube boilers I;1905;N;80;8;6;1% weight saving on machinery
Oil firing;1905;Y;80;8;126;Enables oil firing if access to oil
Economizer;1906;Y;100;5;7;1% weight saving on machinery
Small tube boilers II;1908;N;80;8;8;1% weight saving on machinery
Superheater;1912;N;100;10;9;1% weight saving on machinery
Circulation augmenter;1914;N;100;10;10;1% weight saving on machinery
Reduction gears;1916;N;80;10;129;Increases endurance
Water wall furnace;1918;N;100;10;11;1% weight saving on machinery
Advanced superheater;1920;N;80;10;11;1% weight saving on machinery
Double reduction gears;1922;N;80;14;129;1% weight saving on machinery
Forced circulation;1924;N;100;10;12;1% weight saving on machinery
Turbo electric drive;1926;N;100;12;12;1% weight saving on machinery
Improved oil burners;1928;N;100;10;12;1% weight saving on machinery
[Armour development 1]
PicName=ArmourMill.jpg
Krupp armour;1900;Y;100;3;101;1% weight saving on armour
Face hardening;1902;N;100;6;102;1% weight saving on armour
Quality control;1904;N;100;8;103;1% weight saving on armour
Improved annealing;1906;N;100;8;104;1% weight saving on armour
Krupp Cementit;1908;Y;100;8;105;1% weight saving on armour
Quality control II;1910;N;100;10;106;1% weight saving on armour
Improved armour bracing;1912;Y;90;10;114;1% weight saving on armour
Improved face hardening;1914;N;90;10;107;1% weight saving on armour
Improved homogenous armour;1916;N;100;14;108;1% weight saving on armour
Inclined armour;1918;Y;90;16;109;1% weight saving on armour
Improved armour testing methods;1920;N;80;14;110;1% weight saving on armour
Internal belt;1922;Y;80;14;111;1% weight saving on armour
Decapping belt;1924;N;80;14;112;1% weight saving on armour
Advanced face hardening;1926;N;80;14;113;1% weight saving on armour 
[Hull construction 2]
PicName=Hull.jpg
Improved riveting techniques;1901;Y;100;7;201;1% weight saving on hull
High tensile steel;1902;Y;100;7;202;1% weight saving on hull
Basic weight control;1903;Y;100;8;203;1% weight saving on hull
Longitudinal framing;1905;N;100;7;204;1% weight saving on hull
Improved weight control;1908;Y;100;6;205;1% weight saving on hull
Hydraulic riveting;1910;Y;100;6;206;1% weight saving on hull
Better steel quality;1911;Y;100;8;207;1% weight saving on hull
