[Machinery development 0]
PicName=Boiler.jpg
Improved surface condenser;1900;N;100;3;1;1% weight saving on machinery
Cockburn safety valve;1901;Y;100;4;2;1% weight saving on machinery
Side drums;1902;Y;100;6;3;1% weight saving on machinery
Preheater;1903;N;100;6;4;1% weight saving on machinery
Steam Turbines;1904;Y;100;8;5;Considerable weight savings on machinery
Small tube boilers I;1905;N;80;8;6;1% weight saving on machinery
Oil firing;1905;Y;80;8;7;Enables oil firing if access to oil
Economizer;1906;Y;100;5;8;1% weight saving on machinery
Small tube boilers II;1908;N;80;8;9;1% weight saving on machinery
Superheater;1912;N;100;10;10;1% weight saving on machinery
Circulation augmenter;1914;N;100;10;11;1% weight saving on machinery
Reduction gears;1916;N;80;10;12;Increases endurance
Water wall furnace;1918;N;100;10;13;1% weight saving on machinery
Advanced superheater;1920;N;80;10;14;1% weight saving on machinery
Double reduction gears;1922;N;80;14;15;1% weight saving on machinery
Forced circulation;1924;N;100;10;16;1% weight saving on machinery
Turbo electric drive;1926;N;100;12;17;1% weight saving on machinery
Large diesel engines;1925;N;50;10;18;Enables diesel engines
Improved oil burners;1928;N;100;10;19;1% weight saving on machinery
350 psi steam plant;1930;N;100;10;20;1% weight saving on machinery
Vulcan clutch;1934;Y;100;10;21;Increases endurance
500 psi steam plant;1935;N;100;10;22;1% weight saving on machinery
Variable pitch propellers;1937;N;100;10;23;Improves range for cruisers.
Improved high pressure steam plants;1941;N;100;10;24;1% weight saving on machinery
Supercharged diesels;1943;N;70;10;25;Reduces weight of diesel engines by 10%
Lightweight engine component materials;1945;N;100;10;26;1% weight saving on machinery
Forced lubrication;1947;N;100;10;27;1% weight saving on machinery
[Armour development 1]
PicName=ArmourMill.jpg
Krupp armour;1900;Y;100;3;101;Gradual improvement of armour quality
Face hardening;1902;N;100;6;102;Gradual improvement of armour quality
Quality control;1904;N;100;8;103;Gradual improvement of armour quality and 1% weight saving
Improved annealing;1906;N;100;8;104;Gradual improvement of armour quality
Krupp Cementit;1908;Y;100;8;105;Gradual improvement of armour quality
Quality control II;1910;N;100;10;106;Gradual improvement of armour quality and 1% weight saving
Improved armour bracing;1912;Y;90;10;114;2% weight saving on armour
Improved face hardening;1914;N;90;10;107;Gradual improvement of armour quality
Improved homogenous armour;1916;N;100;14;108;Gradual improvement of armour quality
Inclined belt;1916;Y;90;16;109;Enables inclined belt
