c	sw	30p	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30
2	7																															
3	12																															
4	32													10	11	12	13	14	15	15	15	15	15	15	15	16	16	16	16	16	16	16
5	63													10	10	13	16	18	22	22	22	22	22	22	22	22	22	22	22	22	22	22
6	108													10	12	15	17	19	22	23	23	27	30	32	32	32	32	32	32	32	32	32
7	172												10	12	14	16	18	19	23	26	24	27	32	35	42	42	42	42	42	42	42	42
8	276											10	11	12	14	16	18	20	20	22	25	27	32	35	40	45	50	50	50	50	50	50
9	365										10	11	12	13	14	16	18	21	23	26	28	32	36	40	45	45	50	50	50	52	52	52
10	500									10	12	14	15	16	18	20	22	23	24	27	30	32	36	40	45	45	50	50	50	50	52	52
11	666									10	12	14	15	16	18	20	22	24	26	28	30	33	36	40	45	45	50	55	58	60	60	60
12	864									10	12	14	16	18	20	22	24	25	26	28	30	33	36	40	45	50	55	58	60	60	60	60
13	1200								10	12	14	16	18	20	22	24	26	28	30	32	35	37	40	43	47	50	55	60	60	60	60	60
14	1372								10	12	14	16	18	20	22	25	27	30	32	34	36	38	40	43	47	50	55	60	63	67	70	70
15	1688								10	12	15	17	20	22	25	27	30	32	34	36	38	40	43	47	50	55	60	63	67	70	70	72
16	2048								10	12	15	17	20	22	25	27	30	32	35	38	40	42	45	48	50	55	60	65	70	70	72	74
17	3000							10	12	15	17	20	22	24	26	29	31	35	38	40	42	45	48	50	55	60	65	70	70	72	72	74
18	3500							10	12	15	17	20	22	25	27	29	32	37	40	42	44	48	50	55	60	64	68	70	70	72	74	76
19	3800							10	12	15	18	21	23	25	27	30	33	40	42	44	47	50	54	60	64	68	70	72	72	74	76	78
20	4100							10	12	16	19	22	24	26	28	30	35	42	44	46	50	54	58	64	68	72	72	74	74	76	78	80
