c	sw	30p	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30
2	7	3																														
3	12	7																														
4	32	10	60	55	52	50	40	30	26	24	20																					
5	63	12	80	80	80	70	60	52	46	40	32	28	24	20																		
6	108	13	100	100	100	90	80	70	60	52	46	40	36	32	28	24	20															
7	172	15	120	120	120	110	100	90	80	70	60	55	50	45	40	36	33	30	26	23	20											
8	276	18	160	160	150	140	130	120	110	100	93	87	80	73	67	60	57	53	50	47	43	40	36	32	28	24	20					
9	365	18	160	160	160	150	140	130	120	110	100	93	87	80	73	67	60	56	52	48	44	40	36	32	28	24	20					
10	500	17	160	160	160	155	142	130	120	113	107	100	93	87	80	75	70	65	60	56	52	48	44	40	36	32	28	24	20			
11	666	21	200	200	198	195	190	180	160	153	147	140	128	118	112	104	98	91	84	78	74	70	65	61	58	54	48	44	40	36	32	28
12	864	21	240	240	240	220	210	200	180	170	160	150	140	133	127	120	113	107	100	93	87	80	76	72	68	64	60	55	50	45	40	35
13	1200	22	260	260	260	260	240	220	210	200	190	180	170	160	150	140	133	127	120	113	107	100	96	92	88	84	80	76	72	68	64	60
14	1372	23	280	280	280	270	260	240	230	220	210	200	190	180	170	160	153	147	140	133	127	120	115	110	105	100	96	92	88	84	80	76
15	1688	24	300	300	300	290	280	260	250	240	220	210	200	190	180	173	167	160	153	147	140	133	127	120	115	110	105	100	95	90	85	80
16	2048	25	320	320	320	320	300	280	270	260	250	240	220	210	200	193	187	180	170	160	153	147	140	135	130	125	120	115	110	105	100	95
17	3000	25	340	320	320	320	320	300	280	270	260	250	240	220	210	200	193	187	180	170	160	153	147	140	135	130	125	120	115	110	105	100																												
18	3500	25	360	340	330	330	320	320	300	280	270	260	250	240	220	205	200	193	187	180	170	160	153	147	140	135	130	125	120	115	110	105																											
19	3800	26	380	360	340	340	330	330	320	300	280	270	260	250	230	210	205	200	190	186	180	168	162	152	144	138	134	130	124	118	112	110																												
20	4100	26	400	380	360	350	340	340	330	310	290	280	270	260	240	220	210	205	197	192	188	176	170	160	148	143	138	134	128	121	115	112																											
